Question,Answer
A landscaping company needs to mow a rectangular field that measures 120 yards long and 80 yards wide. The riding mower they use can mow a 2-yard wide strip on each pass. It takes the mower 3 minutes to complete one full pass down the length of the field. How many minutes will it take to mow the entire field?,"The field is 80 yards wide, and the mower cuts a 2-yard strip on each pass.
This means it will take 80/2 = <<80/2=40>>40 passes to mow the entire field.
Each pass takes 3 minutes.
Thus, it will take 40 passes * 3 minutes per pass = <<40*3=120>>120 minutes to mow the entire field.
#### 120"
"A cyclist rides at a speed of 15 miles per hour for 2 hours. After a 30-minute break, she continues riding at a speed of 12 miles per hour for another 3 hours. What is the total distance the cyclist covered, in miles?","In the first 2 hours, the cyclist rode 15 miles per hour * 2 hours = <<15*2=30>>30 miles.
After the break, she rode 12 miles per hour * 3 hours = <<12*3=36>>36 miles.
The total distance covered is 30 miles + 36 miles = <<30+36=66>>66 miles.
#### 66"
"A store is having a sale where the price of a shirt is reduced by $5 every 3 days. If the regular price of the shirt is $40 and the sale lasts for 15 days, what will be the price of the shirt on the last day of the sale?","The sale lasts for 15 days, which means the price is reduced 15/3 = <<15/3=5>>5 times.
The total price reduction is 5 * $5 = $<<5*5=25>>25.
The final sale price of the shirt is $40 - $25 = $<<40-25=15>>15.
#### 15"
"A grocery store is having a sale on apples. Normally, apples cost $1.50 per pound. During the sale, the price is reduced by $0.30 per pound. If a customer buys 12 pounds of apples during the sale, how much money will they save compared to buying the same amount at the regular price?","The regular price of apples is $1.50 per pound.
During the sale, the price is reduced by $0.30 per pound, making the sale price $1.50 - $0.30 = $<<1.50-0.30=1.20>>1.20 per pound.
If the customer buys 12 pounds of apples at the regular price, they would spend 12 * $1.50 = $<<12*1.50=18.00>>18.00.
If the customer buys 12 pounds of apples during the sale, they would spend 12 * $1.20 = $<<12*1.20=14.40>>14.40.
The customer will save $18.00 - $14.40 = $<<18.00-14.40=3.60>>3.60 by buying the apples during the sale.
#### 4"
"A race car driver completes the first lap of a race in 1 minute and 30 seconds. Each subsequent lap takes him 5 seconds longer than the previous one due to tire wear. If the race is 10 laps long, how many minutes does it take the driver to finish the race?","The first lap takes 1 minute and 30 seconds, which is equivalent to 90 seconds.
Each subsequent lap takes 5 seconds longer than the previous one.
The second lap takes 90 + 5 = <<90+5=95>>95 seconds.
The third lap takes 95 + 5 = <<95+5=100>>100 seconds.
The fourth lap takes 100 + 5 = <<100+5=105>>105 seconds.
The fifth lap takes 105 + 5 = <<105+5=110>>110 seconds.
The sixth lap takes 110 + 5 = <<110+5=115>>115 seconds.
The seventh lap takes 115 + 5 = <<115+5=120>>120 seconds.
The eighth lap takes 120 + 5 = <<120+5=125>>125 seconds.
The ninth lap takes 125 + 5 = <<125+5=130>>130 seconds.
The tenth lap takes 130 + 5 = <<130+5=135>>135 seconds.
The total time for all 10 laps is 90 + 95 + 100 + 105 + 110 + 115 + 120 + 125 + 130 + 135 = <<90+95+100+105+110+115+120+125+130+135=1125>>1125 seconds.
Converting 1125 seconds to minutes gives us 1125 ÷ 60 = <<1125/60=18.75>>19 minutes (rounded to the nearest whole number).
#### 19"
"A factory produces 300 toys per hour. It takes 2 hours to package 200 toys into boxes. If the factory runs for 8 hours and packages toys simultaneously, how many more toys will be produced than packaged?","The factory produces 300 toys per hour * 8 hours = <<300*8=2400>>2400 toys in 8 hours.
In 8 hours, they can package 200 toys every 2 hours, which is 200 * (8/2) = 200 * <<8/2=4>>4 = <<200*4=800>>800 toys.
The difference between the number of toys produced and packaged is 2400 - 800 = <<2400-800=1600>>1600 toys.
#### 1600"
"A painter can paint a house in 6 hours. An apprentice painter takes 10 hours to paint the same house. If the painter starts working on the house, and the apprentice joins him after 2 hours, how many hours in total will it take for them to finish painting the house together?","In the first 2 hours, the painter completes 2/6 = <<2/6=0.3333333333333333>>0.33 (rounded to 0.33) of the house.
This means that 1 - 0.33 = <<1-0.33=0.67>>0.67 of the house remains to be painted.
Together, the painter and apprentice can paint 1/6 + 1/10 = <<1/6+1/10=0.26666666666666666>>0.27 (rounded to 0.27) of the house per hour.
To paint the remaining 0.67 of the house at a rate of 0.27 per hour, it will take 0.67 / 0.27 = <<0.67/0.27=2.4814814814814814>>2.48 hours, which rounds to <<round(2.48)=2>>2 hours.
Therefore, it will take 2 + 2 = <<2+2=4>>4 hours in total for the painter and apprentice to finish painting the house together.
#### 4"
"A ship is traveling at a speed of 25 knots (nautical miles per hour). It needs to cover a distance of 300 nautical miles to reach its destination. After traveling for 4 hours, the ship's speed is reduced to 20 knots due to rough weather conditions. How many more hours will it take for the ship to reach its destination at the reduced speed?","At 25 knots, the ship will cover 25 * 4 = <<25*4=100>>100 nautical miles in the first 4 hours.
This leaves 300 - 100 = <<300-100=200>>200 nautical miles to cover at the reduced speed of 20 knots.
To cover the remaining 200 nautical miles at 20 knots, it will take 200 / 20 = <<200/20=10>>10 hours.
Therefore, it will take an additional 10 hours for the ship to reach its destination at the reduced speed.
#### 10"
"A factory machine can produce 150 units per hour. It runs for 6 hours, then experiences a malfunction, causing it to slow down to 100 units per hour for the next 3 hours. After repairs, it resumes running at 120 units per hour for another 4 hours. How many total units did the machine produce?","Initially, the machine produced 150 units per hour * 6 hours = <<150*6=900>>900 units.
During the malfunction, it produced 100 units per hour * 3 hours = <<100*3=300>>300 units.
After repairs, it produced 120 units per hour * 4 hours = <<120*4=480>>480 units.
In total, the machine produced 900 + 300 + 480 = <<900+300+480=1680>>1680 units.
#### 1680"
"A factory produces 120 bottles per hour. If the factory runs for 8 hours and then increases its speed to produce 150 bottles per hour for the next 3 hours, how many total bottles will be produced in the 11-hour period?","In the first 8 hours, the factory produces 120 bottles per hour * 8 hours = <<120*8=960>>960 bottles.
In the next 3 hours, the factory produces 150 bottles per hour * 3 hours = <<150*3=450>>450 bottles.
Therefore, the total number of bottles produced in the 11-hour period is 960 + 450 = <<960+450=1410>>1410 bottles.
#### 1410"
"A freight train travels at a constant speed of 50 miles per hour. It must travel through a 2.5 mile long tunnel, which takes 4 minutes. After exiting the tunnel, the train continues for another 30 miles before stopping in a train yard. How many minutes does the entire trip take?","The train takes 4 minutes to travel through the 2.5 mile long tunnel. 
At 50 miles per hour, the train travels 50 miles in 60 minutes.
To calculate the time to travel the remaining 30 miles:
30 miles / 50 miles per hour = <<30/50=0.6>>0.6 hours
0.6 hours * 60 minutes/hour = <<0.6*60=36>>36 minutes
So the remaining 30 mile trip takes 36 minutes.
The total trip time is 4 minutes + 36 minutes = <<4+36=40>>40 minutes.
#### 40"
"A boat traveling downstream can cover a distance of 90 miles in 3 hours. The same boat traveling upstream can cover a distance of 30 miles in 2 hours. If the boat travels downstream for 2 hours and then upstream for 3 hours, how many total miles will the boat have traveled?","Downstream, the boat travels at a speed of 90 miles / 3 hours = <<90/3=30>>30 miles per hour.
In 2 hours downstream, the boat will travel 30 miles per hour * 2 hours = <<30*2=60>>60 miles.
Upstream, the boat travels at a speed of 30 miles / 2 hours = <<30/2=15>>15 miles per hour.
In 3 hours upstream, the boat will travel 15 miles per hour * 3 hours = <<15*3=45>>45 miles.
In total, the boat will travel 60 miles downstream + 45 miles upstream = <<60+45=105>>105 miles.
#### 105"
"A factory produces 120 toys per hour. After operating for 3 hours, the factory's power goes out, reducing production to 60 toys per hour for the next 5 hours. How many fewer toys did the factory produce in the 8-hour shift compared to if it had operated at full capacity the entire time?","At full capacity, the factory would have produced 120 toys per hour * 8 hours = <<120*8=960>>960 toys.
In the first 3 hours, the factory produced 120 toys per hour * 3 hours = <<120*3=360>>360 toys.
In the next 5 hours, the factory produced 60 toys per hour * 5 hours = <<60*5=300>>300 toys.
In total, the factory produced 360 + 300 = <<360+300=660>>660 toys.
So, the factory produced 960 - 660 = <<960-660=300>>300 fewer toys than if it had operated at full capacity the entire time.
#### 300"
"A printer can print 100 pages in 5 minutes. If Samantha needs to print a 480-page manuscript and a 120-page report, how many minutes will it take for the printer to finish both jobs?","The printer can print 100 pages in 5 minutes, so it prints at a rate of 100/5 = <<100/5=20>>20 pages per minute.
Samantha needs to print 480 + 120 = <<480+120=600>>600 pages total.
At a rate of 20 pages per minute, it will take the printer 600/20 = <<600/20=30>>30 minutes to finish both jobs.
#### 30"
"A factory can produce 500 widgets in 4 hours. After some upgrades, the factory can now produce 750 widgets in 5 hours. How many more widgets per hour is the factory producing after the upgrades compared to before?","Before the upgrades, the factory produced 500 widgets in 4 hours, or 500/4 = <<500/4=125>>125 widgets per hour.
After the upgrades, the factory produces 750 widgets in 5 hours, or 750/5 = <<750/5=150>>150 widgets per hour.
The difference in production rate is 150 - 125 = <<150-125=25>>25 widgets per hour.
The factory is producing 25 more widgets per hour after the upgrades.
#### 25"
"A truck driver has to deliver a shipment of goods from City A to City B, which are 450 miles apart. The truck's average speed is 60 miles per hour. After driving for 3 hours, the driver takes a 30-minute break. He then continues driving at the same average speed for another 2 hours before taking a 1-hour lunch break. How much longer will it take the driver to reach City B after his lunch break if he maintains the same average speed?","The total distance between City A and City B is 450 miles.
In the first 3 hours, the truck covers 60 miles per hour * 3 hours = <<60*3=180>>180 miles.
After the 30-minute break, the truck covers another 60 miles per hour * 2 hours = <<60*2=120>>120 miles.
So far, the truck has traveled 180 + 120 = <<180+120=300>>300 miles.
The remaining distance after the lunch break is 450 - 300 = <<450-300=150>>150 miles.
At an average speed of 60 miles per hour, it will take the driver 150 miles / 60 miles per hour = <<150/60=2.5>>2.5 hours, or 2 hours and 30 minutes, to reach City B after his lunch break.
#### 2.5"
"A machine can fill 120 bottles of soda per minute. It takes 3 minutes to change out an empty syrup container for a full one, which must be done after filling 2400 bottles. How many minutes will it take in total to fill 7500 bottles?","To fill the first 2400 bottles, it will take 2400/120 = <<2400/120=20>>20 minutes.
Then 3 minutes to change the syrup, with 7500 - 2400 = <<7500-2400=5100>>5100 bottles left to fill.
The remaining 5100 bottles will take 5100/120 = <<5100/120=42.5>>42.5 minutes, rounded up to <<round(42.5)=43>>43 minutes.
So the total time is 20 + 3 + 43 = <<20+3+43=66>>66 minutes.
#### 66"
A helicopter flies at a speed of 120 miles per hour. It takes off and flies for 45 minutes before landing to refuel. It then continues flying for another hour and 15 minutes. How many total miles did the helicopter travel?,"The helicopter flew for 45 minutes, which is 0.75 hours, at 120 miles per hour. So it traveled 120 * 0.75 = <<120*0.75=90>>90 miles before refueling.
After refueling, it flew for another 1.25 hours at 120 miles per hour. So it traveled an additional 120 * 1.25 = <<120*1.25=150>>150 miles.
In total, the helicopter traveled 90 + 150 = <<90+150=240>>240 miles.
#### 240"
"A ferry travels at a speed of 15 miles per hour across a lake that is 60 miles wide. On the return trip, the ferry encounters a strong headwind, reducing its speed to 10 miles per hour. How much longer does the return trip take compared to the initial crossing, in minutes?","The initial crossing takes 60 miles / 15 miles per hour = <<60/15=4>>4 hours, which is 4 * 60 = <<4*60=240>>240 minutes.
The return trip takes 60 miles / 10 miles per hour = <<60/10=6>>6 hours, which is 6 * 60 = <<6*60=360>>360 minutes.
The difference in time is 360 minutes - 240 minutes = <<360-240=120>>120 minutes.
Therefore, the return trip takes 120 minutes longer than the initial crossing.
#### 120"
"A sailboat takes 4 hours to travel 48 miles downstream with the current. The return trip against the current takes 6 hours to cover the same distance. If the speed of the current is 2 miles per hour, how fast does the sailboat travel in still water?","Let the speed of the sailboat in still water be x miles per hour.
Going downstream, the sailboat's speed is x + 2 miles per hour.
48 miles ÷ (x + 2) miles per hour = 4 hours
48 ÷ (x + 2) = 4
48 = 4(x + 2)
48 = 4x + 8
4x = 40
x = <<40/4=10>>10
Therefore, the speed of the sailboat in still water is 10 miles per hour.
#### 10"
"A race car completes a lap around a circular track in 50 seconds, traveling at a constant speed of 144 miles per hour. If the race consists of 200 laps, how many minutes will it take the race car to finish the race?","To find the time to complete the race, we first need to calculate the distance of the track.
The race car travels 144 miles in one hour, which is 3600 seconds.
In 50 seconds, the car travels 144 / (3600/50) = <<144/(3600/50)=2>>2 miles.
Since the race is 200 laps, the total distance is 200 * 2 = <<200*2=400>>400 miles.
At 144 miles per hour, the car will take 400 / 144 = <<round(400/144)=3>>3 hours to complete the race.
3 hours is equal to 3 * 60 = <<3*60=180>>180 minutes.
#### 180"
"A farmer is filling his chicken coop with feed for the winter. The coop is 10 feet wide and 15 feet long. He plans to fill it to a depth of 2 feet with feed. The feed costs $5 per cubic foot. If he has already purchased $200 worth of feed, how much more money will he need to spend to completely fill the coop?","The volume of the coop is 10 feet * 15 feet * 2 feet = <<10*15*2=300>>300 cubic feet.
At $5 per cubic foot, it will cost 300 * $5 = $<<300*5=1500>>1500 to fill the coop.
He has already spent $200, so he will need to spend an additional $1500 - $200 = $<<1500-200=1300>>1300 to fill the coop completely.
#### 1300"
A train leaves the station and travels at a speed of 50 miles per hour for 3 hours before making a 30-minute stop. It then resumes its journey at a reduced speed of 40 miles per hour for another 2 hours. How far has the train traveled in total?,"In the first leg of the journey, the train travels at 50 miles per hour for 3 hours, covering a distance of 50 * 3 = <<50*3=150>>150 miles.
After the 30-minute stop, the train resumes its journey at 40 miles per hour for 2 hours, covering an additional distance of 40 * 2 = <<40*2=80>>80 miles.
The total distance traveled by the train is 150 + 80 = <<150+80=230>>230 miles.
#### 230"
"A cruise ship travels at a speed of 25 miles per hour for 12 hours, then increases its speed to 30 miles per hour for another 8 hours. A cargo ship leaves from the same port, traveling at a constant speed of 20 miles per hour. After 20 hours, how many more miles has the cruise ship traveled compared to the cargo ship?","In the first 12 hours, the cruise ship travels 25 miles per hour * 12 hours = <<25*12=300>>300 miles.
In the next 8 hours, the cruise ship travels 30 miles per hour * 8 hours = <<30*8=240>>240 miles.
In total, the cruise ship travels 300 + 240 = <<300+240=540>>540 miles.
The cargo ship travels at 20 miles per hour for 20 hours, so it covers 20 * 20 = <<20*20=400>>400 miles.
Therefore, after 20 hours, the cruise ship has traveled 540 - 400 = <<540-400=140>>140 miles more than the cargo ship.
#### 140"
A factory produces 120 toys per hour. It takes 15 minutes to package 30 toys for shipping. How many toys can be produced and packaged in an 8-hour workday?,"In one hour, the factory produces 120 toys and can package 30 toys in 15 minutes or <<30*4=120>>120 toys per hour.
This means in one hour, they can produce and package 120 toys.
In an 8-hour workday, they can produce and package 120 * 8 = <<120*8=960>>960 toys.
#### 960"
"Mia is making fruit smoothies for her friends. Each smoothie requires 1/2 cup of yogurt, 1/4 cup of milk, and 1 cup of frozen fruit. If Mia wants to make a smoothie for each of her 8 friends, and she already has 2 cups of yogurt, how many more cups of yogurt does she need to buy?","Each smoothie requires 1/2 cup of yogurt. For 8 smoothies, Mia needs 1/2 * 8 = <<1/2*8=4>>4 cups of yogurt in total.
Mia already has 2 cups of yogurt, so she needs to buy an additional 4 - 2 = <<4-2=2>>2 cups of yogurt to make smoothies for all her friends.
#### 2"
"Two cyclists start at the same point on a circular track. The first cyclist travels at a speed of 15 miles per hour, while the second cyclist travels at a speed of 12 miles per hour in the opposite direction. If the track is 6 miles long, how many minutes will it take for the cyclists to meet each other for the first time?","The cyclists are traveling towards each other at a combined speed of 15 + 12 = <<15+12=27>>27 miles per hour.
To find the time taken to meet, we use the formula: Time = Distance ÷ Speed
In this case, the distance is half the track length, which is 6 ÷ 2 = <<6/2=3>>3 miles.
Time = 3 miles ÷ 27 miles per hour = <<3/27=0.1111111111111111>>0.1111111111111111 hours
To convert hours to minutes, we multiply by 60:
0.1111111111111111 hours * 60 minutes/hour = <<0.1111111111111111*60=6.666666666666667>>6.666666666666667 minutes, which rounds to <<round(6.666666666666667)=7>>7 minutes.
#### 7"
"A factory produces toy cars at a rate of 120 per hour. After 4 hours, the machines are shut down for maintenance, which takes 30 minutes. When the machines are restarted, they produce at a slower rate of 100 toy cars per hour for the next 3 hours. How many total toy cars are produced in this 7.5 hour period?","In the first 4 hours, the factory produces 120 * 4 = <<120*4=480>>480 toy cars.
The machines are then shut down for 30 minutes, or 0.5 hours, during which no toy cars are produced.
After the maintenance, the machines produce 100 toy cars per hour for 3 hours, which is 100 * 3 = <<100*3=300>>300 toy cars.
In total, the factory produces 480 + 300 = <<480+300=780>>780 toy cars in the 7.5 hour period.
#### 780"
"A factory worker can assemble 15 parts in 30 minutes. A machine can assemble 40 parts in 20 minutes. If the worker and machine work together for 2 hours, how many more parts will the machine have assembled compared to the worker?","In 1 hour (60 minutes), the worker can assemble 15 * 2 = <<15*2=30>>30 parts.
In 2 hours, the worker will assemble 30 * 2 = <<30*2=60>>60 parts.
In 1 hour, the machine can assemble 40 * 3 = <<40*3=120>>120 parts.
In 2 hours, the machine will assemble 120 * 2 = <<120*2=240>>240 parts.
The machine will assemble 240 - 60 = <<240-60=180>>180 more parts than the worker in 2 hours.
#### 180"
"A cruise ship travels at an average speed of 22 knots for 4 hours in the morning. In the afternoon, it slows down to 18 knots and travels for another 5 hours before reaching its destination. How many total nautical miles did the ship travel?","In the morning, the ship traveled 22 knots * 4 hours = <<22*4=88>>88 nautical miles.
In the afternoon, the ship traveled 18 knots * 5 hours = <<18*5=90>>90 nautical miles.
In total, the ship traveled 88 + 90 = <<88+90=178>>178 nautical miles.
#### 178"
A factory produces 120 widgets per hour. It takes 15 minutes to package 30 widgets for shipping. The factory runs for 8 hours per day. How many hours does the factory spend packaging widgets each day?,"The factory produces 120 widgets per hour * 8 hours = <<120*8=960>>960 widgets per day.
30 widgets are packaged every 15 minutes, which means 30 * 4 = <<30*4=120>>120 widgets are packaged per hour.
To package 960 widgets at a rate of 120 widgets per hour, it will take 960 / 120 = <<960/120=8>>8 hours.
#### 8"
"A plane flies at a speed of 500 miles per hour. It takes off and flies for 2 hours before landing to refuel. It then takes off again and flies for another 3 hours before reaching its destination. A train leaves the same starting location, traveling at 100 miles per hour non-stop. How much farther has the plane traveled compared to the train by the time it reaches its destination?","The plane traveled 500 miles per hour * 2 hours = <<500*2=1000>>1000 miles before refueling.
It then traveled 500 miles per hour * 3 hours = <<500*3=1500>>1500 miles after refueling.
In total, the plane traveled 1000 + 1500 = <<1000+1500=2500>>2500 miles.
The train traveled 100 miles per hour * (2 + 3) hours = <<100*5=500>>500 miles non-stop.
Therefore, the plane traveled 2500 - 500 = <<2500-500=2000>>2000 miles farther than the train.
#### 2000"
"A remote-controlled toy car travels at a constant speed of 5 feet per second. The toy car is driven forward for 12 seconds, then reversed for 8 seconds, and finally driven forward again for 6 seconds. What is the net distance, in feet, that the toy car has traveled from its starting position?","When the toy car moves forward for 12 seconds at 5 feet per second, it travels 12 * 5 = <<12*5=60>>60 feet.
When it reverses for 8 seconds at the same speed, it moves back 8 * 5 = <<8*5=40>>40 feet.
Finally, when it moves forward again for 6 seconds, it travels 6 * 5 = <<6*5=30>>30 feet.
To find the net distance, we add the forward distances and subtract the reverse distance:
60 + 30 - 40 = <<60+30-40=50>>50 feet.
#### 50"
"A cruise ship travels at a speed of 25 miles per hour for 8 hours. After that, it slows down to 15 miles per hour for the next 6 hours due to rough waters. How many total miles did the cruise ship travel during this 14-hour period?","For the first 8 hours, the cruise ship traveled 25 miles per hour * 8 hours = <<25*8=200>>200 miles.
For the next 6 hours, the cruise ship traveled 15 miles per hour * 6 hours = <<15*6=90>>90 miles.
In total, the cruise ship traveled 200 miles + 90 miles = <<200+90=290>>290 miles during the 14-hour period.
#### 290"
"Serena's morning commute to work consists of driving 20 miles on the highway at 60 miles per hour, then 5 miles on city streets at 30 miles per hour. Her evening commute home follows the same route in reverse. How many total minutes does Serena spend commuting each day?","In the morning, Serena spends 20/60 = <<20/60=0.333333333333333>>0.33 hours (0.33*60 = <<0.33*60=20>>20 minutes) on the highway.
She then spends 5/30 = <<5/30=0.16666666666666666>>0.17 hours (0.17*60 = <<0.17*60=10>>10 minutes) on city streets.
This means her morning commute takes 20 + 10 = <<20+10=30>>30 minutes.
Since her evening commute is the same, she spends 30*2 = <<30*2=60>>60 total minutes commuting each day.
#### 60"
A train travels at a speed of 80 miles per hour for 3 hours before making a 30-minute stop. It then continues for another 2 hours at a reduced speed of 60 miles per hour. How many total miles did the train travel?,"In the first leg of the journey, the train traveled at 80 miles per hour for 3 hours, covering a distance of 80 * 3 = <<80*3=240>>240 miles.
After the 30-minute stop, the train traveled at 60 miles per hour for 2 hours, covering a distance of 60 * 2 = <<60*2=120>>120 miles.
The total distance traveled by the train is 240 + 120 = <<240+120=360>>360 miles.
#### 360"
"A toy train travels around a circular track at a constant speed of 2 feet per second. The track has a circumference of 40 feet. Billy's remote-controlled car can drive around the outside of the track at a speed of 5 feet per second. If they both start at the same spot and begin moving at the same time, how many seconds will it take before they are side-by-side again?","The train takes 40/2 = <<40/2=20>>20 seconds to complete one lap around the track.
The car takes 40/5 = <<40/5=8>>8 seconds to complete one lap around the track.
The least common multiple of 20 and 8 is <<lcm(20,8)=40>>40.
Therefore, it will take 40 seconds for the train and car to be side-by-side again at the starting point.
#### 40"
"A factory produces 120 t-shirts per hour. The t-shirts are packed into boxes, each holding 40 shirts. The boxes are then loaded onto delivery trucks, with each truck carrying 12 boxes. After 6 hours of production, how many fully loaded trucks will leave the factory?","The factory produces 120 t-shirts per hour, so in 6 hours they will produce 120 * 6 = <<120*6=720>>720 t-shirts.
Each box holds 40 shirts, so the factory will fill 720 / 40 = <<720/40=18>>18 boxes.
Each truck can carry 12 boxes, so the factory will load 18 / 12 = <<18/12=1.5>>1.5 trucks. 
Since only fully loaded trucks can leave, <<floor(1.5)=1>>1 truck will leave the factory after 6 hours.
#### 1"
"A water tank fills at a rate of 5 gallons per minute. It takes 12 minutes to fill a second tank that is 3 times the size of the first tank. If both tanks are filled simultaneously, how many gallons of water will be in both tanks after 9 minutes?","The first tank fills at a rate of 5 gallons per minute. After 9 minutes it will contain 5 * 9 = <<5*9=45>>45 gallons.
The second tank is 3 times the size of the first tank. The first tank has a capacity of 5 gallons per minute * 12 minutes = <<5*12=60>>60 gallons. 
So the second tank has a capacity of 60 * 3 = <<60*3=180>>180 gallons.
The second tank fills in 12 minutes, so its fill rate is 180 gallons / 12 minutes = <<180/12=15>>15 gallons per minute.
After 9 minutes the second tank will contain 15 * 9 = <<15*9=135>>135 gallons.
Therefore, after 9 minutes the total amount of water in both tanks will be 45 + 135 = <<45+135=180>>180 gallons.
#### 180"
"A plane flies at a speed of 500 miles per hour for 3 hours. It then increases its speed to 550 miles per hour for the next 2 hours. If the plane's destination is 2,000 miles away, how much longer will it take the plane to reach its destination?","In the first 3 hours, the plane travels 500 miles per hour * 3 hours = <<500*3=1500>>1500 miles.
In the next 2 hours, the plane travels 550 miles per hour * 2 hours = <<550*2=1100>>1100 miles.
So far, the plane has traveled 1500 + 1100 = <<1500+1100=2600>>2600 miles.
The plane still needs to travel 2000 - 2600 = <<2000-2600=-600>>-600 miles, which means it has already reached its destination.
The plane took 3 + 2 = <<3+2=5>>5 hours to reach its destination, which is 0 hours longer than planned.
#### 0"
A pizza delivery driver makes 3 deliveries per hour on average. Each delivery takes him 12 minutes of driving time round trip. He spends an additional 5 minutes per delivery waiting for the customer to pay and giving them their pizza. How many minutes per hour is the delivery driver not driving or interacting with customers?,"The driver spends 12 minutes driving per delivery * 3 deliveries per hour = <<12*3=36>>36 minutes driving per hour.
He spends 5 minutes per delivery with the customer * 3 deliveries = <<5*3=15>>15 minutes with customers per hour.
So in total, he spends 36 + 15 = <<36+15=51>>51 minutes per hour driving and interacting with customers.
There are 60 minutes in an hour, so 60 - 51 = <<60-51=9>>9 minutes per hour the driver is not driving or with customers.
#### 9"
"A spaceship is traveling to a distant planet at a speed of 10,000 miles per hour. After 12 hours, the spaceship increases its speed to 12,000 miles per hour for the next 8 hours. How much farther did the spaceship travel in the last 8 hours compared to the first 12 hours?","In the first 12 hours, the spaceship traveled at 10,000 miles per hour, covering a distance of 12 * 10,000 = <<12*10000=120000>>120,000 miles.
In the last 8 hours, the spaceship traveled at 12,000 miles per hour, covering a distance of 8 * 12,000 = <<8*12000=96000>>96,000 miles.
The difference in distance traveled is 96,000 - 120,000 = <<96000-120000=-24000>>-24,000 miles.
The spaceship traveled 24,000 miles less in the last 8 hours compared to the first 12 hours.
#### -24000"
"A cargo ship is delivering 10,000 pounds of goods from Port A to Port B. It takes the ship 2 days to travel from Port A to Port B, and each day it travels at a speed of 20 miles per hour for 12 hours. The ship then makes a return trip from Port B to Port A, but this time it increases its speed by 5 miles per hour. How many fewer hours will the return trip take compared to the initial trip?","The initial trip takes 2 days, and each day the ship travels 20 miles per hour for 12 hours. So the total distance is:
20 miles per hour * 12 hours per day * 2 days = <<20*12*2=480>>480 miles
For the return trip, the ship's speed is increased by 5 miles per hour to 20 + 5 = <<20+5=25>>25 miles per hour.
To calculate the time taken for the return trip:
480 miles / 25 miles per hour = <<480/25=19.2>>19.2 hours, rounded to <<round(19.2)=19>>19 hours.
The initial trip took 12 hours per day * 2 days = <<12*2=24>>24 hours.
Therefore, the return trip will take 24 - 19 = <<24-19=5>>5 fewer hours compared to the initial trip.
#### 5"
"A company is printing flyers for an upcoming event. The printer can print 500 flyers per minute. If the company needs a total of 30,000 flyers, and the printer has already been running for 12 minutes, how many more minutes will it take to finish printing all the flyers?","In 12 minutes, the printer has already printed 500 * 12 = <<500*12=6000>>6000 flyers.
The company still needs to print 30,000 - 6,000 = <<30000-6000=24000>>24,000 more flyers.
At a rate of 500 flyers per minute, it will take an additional 24,000 / 500 = <<24000/500=48>>48 minutes to print the remaining flyers.
#### 48"
"A printing press can print 500 sheets in 10 minutes. A second printing press can print 750 sheets in 15 minutes. If both presses run at the same time, how many minutes will it take for them to print a total of 5000 sheets?","The first printing press prints at a rate of 500 sheets / 10 minutes = 500/10 = <<500/10=50>>50 sheets per minute.
The second printing press prints at a rate of 750 sheets / 15 minutes = 750/15 = <<750/15=50>>50 sheets per minute.
Together, the presses print at a combined rate of 50 + 50 = <<50+50=100>>100 sheets per minute.
To print 5000 sheets at this rate, it will take 5000 sheets / 100 sheets per minute = 5000/100 = <<5000/100=50>>50 minutes.
#### 50"
"A printing press takes 2 hours to print 1000 flyers. The flyers then need to be cut, folded and boxed, which takes 30 minutes per 500 flyers. If a company needs 4000 flyers printed and packaged, how many hours will the entire job take?","1000 flyers take 2 hours to print, so 4000 flyers will take 2 * 4 = <<2*4=8>>8 hours to print.
500 flyers take 30 minutes to cut, fold and box. 4000 flyers is 4000 / 500 = <<4000/500=8>>8 sets of 500. 
So 8 sets of 500 will take 8 * 30 = <<8*30=240>>240 minutes, which is 240 / 60 = <<240/60=4>>4 hours. 
In total, printing will take 8 hours and packaging will take 4 hours.
8 + 4 = <<8+4=12>>12 hours for the entire job.
#### 12"
"A factory produces widgets at a rate of 120 per hour. If the factory runs for 8 hours, then shuts down for 2 hours for maintenance before starting up again, how many widgets will it produce in a 24-hour period?","In the first 8 hours, the factory produces 120 * 8 = <<120*8=960>>960 widgets.
It then shuts down for 2 hours, leaving 24 - 8 - 2 = <<24-8-2=14>>14 hours remaining in the 24-hour period.
In the remaining 14 hours, it produces 120 * 14 = <<120*14=1680>>1680 widgets.
In total, over the 24-hour period, the factory produces 960 + 1680 = <<960+1680=2640>>2640 widgets.
#### 2640"
